medal_date,medal_type,medal_code,name,country_code,gender,discipline,event,event_type,url_event
2024-08-10,Bronze Medal,3,Giorgio MALAN,ITA,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--
2024-08-10,Gold Medal,1,Janja GARNBRET,SLO,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--
2024-08-10,Silver Medal,2,Brooke RABOUTOU,USA,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--
2024-08-10,Bronze Medal,3,Jessica PILZ,AUT,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--
2024-08-10,Gold Medal,1,China,CHN,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000
2024-08-10,Silver Medal,2,Japan,JPN,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000
2024-08-10,Bronze Medal,3,Korea,KOR,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00020000
2024-08-10,Gold Medal,1,Arian SALIMI,IRI,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--
2024-08-10,Silver Medal,2,Caden CUNNINGHAM,GBR,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--
2024-08-10,Bronze Medal,3,Rafael ALBA,CUB,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--
2024-08-10,Bronze Medal,3,Cheick Sallah CISSE,CIV,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000200--
2024-08-10,Gold Medal,1,Althea LAURIN,FRA,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--
2024-08-10,Silver Medal,2,Svetlana OSIPOVA,UZB,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--
2024-08-10,Bronze Medal,3,LEE Dabin,KOR,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000100--
2024-08-10,Bronze Medal,3,Nafia KUS AYDIN,TUR,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000200--
2024-08-10,Gold Medal,1,France,FRA,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--
2024-08-10,Silver Medal,2,Poland,POL,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--
2024-08-10,Bronze Medal,3,Brazil,BRA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000200--
2024-08-10,Gold Medal,1,Spain,ESP,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--
2024-08-10,Silver Medal,2,Australia,AUS,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--
2024-08-10,Bronze Medal,3,Netherlands,NED,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000200--
2024-08-10,Gold Medal,1,Lasha TALAKHADZE,GEO,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--
2024-08-10,Silver Medal,2,Varazdat LALAYAN,ARM,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--
2024-08-10,Bronze Medal,3,Gor MINASYAN,BRN,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--
2024-08-10,Gold Medal,1,LIU Huanhua,CHN,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--
